player_id,player_name,xT
322359,Ceri Holland,1.115868069059665
10404,Noelle Maritz,1.1102456541910282
32456,Alexandra Jóhannsdóttir,1.109188252280136
225394,Guðrún Arnardóttir,1.1077643859647284
316795,Kinga Szemik,1.1049957816928078
10514,Guro Reiten,1.0987730759131968
276303,Thea Bjelde,1.0849403743101147
24374,Ingrid Syrstad Engen,1.0844009306955205
10228,Manuela Giugliano,1.0788950026626831
46331,Elisabetta Oliviero,1.0721110931072517
63308,Justine Vanhaevermaet,1.0678935608343252
10124,Dagný Brynjarsdóttir,1.0558261776222289
276906,Sari Kees,1.054174628488193
4633,Magdalena Lilly Eriksson,1.05320875179966
46224,Lucia Di Guglielmo,1.040977607062841
276579,Nadine Riesen,1.0385113191088176
32101,Julia Stierli,1.0257469497098535
32099,Livia Peng,1.023421677603879
276905,Hannah Eurlings,1.0201938057684279
402017,Maja Bay Østergaard,1.0161151579179482
,,1.0116577456557656
221887,Wieke Hendrikje Maria Kaptein,0.9963910027600776
32143,Diana Catarina Ribeiro Gomes,0.9962264855268987
10650,Jill Roord,0.9936546621042608
26094,Julia Zigiotti-Olme,0.9933893309347879
10417,Viola Calligaris,0.9884997362421737
224828,Anna Koivunen,0.9826674100723881
392291,Joanna Tynnilä,0.9702747363036872
10162,Carole da Silva Costa,0.9646314777342645
10408,Ana-Maria Crnogorčević,0.9576304321321598
182764,Hanna Lundkvist,0.9573452251050897
386105,Lisa Fjeldstad Naalsund,0.95598120467023
46873,Sylwia Matysik,0.9547616571108031
10666,Dominique Johanna Anna Petrone Janssen,0.9378206009652093
10097,Frederikke Thøgersen,0.9127516813107202
32054,Jéssica da Silva,0.9004192046439075
10654,Jackie Groenen,0.8949977056911562
10100,Janice Cayman,0.894944050092622
135324,Svenja Fölmli,0.8938445970566387
135326,Sarai Linder,0.8928201081592816
10208,Elena Linari,0.84846594346889
408990,Jill Janssens,0.8484652028188341
31784,Maëlle Lakrar,0.847384742098324
482154,Paulina Tomasiak,0.8354747186129365
18253,Hannah Cain,0.8337401924539302
10135,Ingibjörg Sigurðardóttir,0.8291068117545859
4865,Josie Green,0.8202097112770467
19780,Rachel Rowe,0.8141512865389399
25466,Vilde Bøe Risa,0.7971547630902126
45737,Martina Piemonte,0.7909782097907887
63420,Ewelina Kamczyk,0.781917806909473
10230,Linda Brigitta Sembrant,0.7793053382986435
327442,Andreia de Jesus Jacinto,0.7765110585745457
15615,Pauline Peyraud Magnin,0.7745342231088008
10222,Jonna Ann-Charlotte Andersson,0.7479022248511841
142770,Emma Skou Færge,0.7429574950743671
276907,Amber Tysiak,0.7388170578891408
19422,Jessica Carter,0.7284275742371501
325002,Jarne Teulings,0.7263782332965911
47011,Tanja Pawollek,0.70746391378467
45295,Catalina Thomas Coll Lluch,0.7067623026332613
15623,Vivianne Miedema,0.702517405010442
45289,Jana Fernandez Velasco,0.6977565230828445
482017,Noemi Ivelj,0.6967892158138485
276577,Telma Raquel Velosa Encarnação,0.6918047298415376
10134,Agla María Albertsdóttir,0.6902364206724565
25770,Lisa Boattin,0.6893339535350919
4650,Nadia Nadim,0.6869329734988782
46740,Grace Clinton,0.6780387475590158
185543,Ffion Morgan,0.671250083425083
431528,Leila Wandeler,0.6710750768534949
482216,Kayleigh Anne Marie Barton,0.6692370190606151
62962,Esmee Brugts,0.660267160405616
32229,Sara Holmgaard,0.659492150156287
326619,Olivia Clarke,0.6544700265173748
87185,Stine Ballisager Pedersen,0.6494269541761463
15631,Niamh Charles,0.6401268097343327
443270,Emilia Urszula Szymczak,0.6352779799377087
136945,Adriana Achcińska,0.6333403978561546
30971,Sandie Toletti,0.6172950866185765
224831,Amalie Jørgensen Vangsgaard,0.6102280012757538
276288,Tuva Hansen,0.5956729048731408
10645,Sherida Spitse,0.5955702179009075
87194,Celin Bizet Ildhusøy,0.5947489200289349
10163,Leila Ouahabi El Ouahabi,0.5813058686304001
402082,Marie Detruyer,0.5810989734688118
50371,Adriana Nanclares Romero,0.5806758221462309
46983,Selina Cerci,0.5723216257213504
32227,Emma Snerle,0.5675113890371919
16381,Gemma Evans,0.564259271732503
25492,Giulia Gwinn,0.5468781197325739
25728,Karina Sævik,0.5458523121300042
10141,Ana Borges,0.5358817044515433
10388,Laura Deloose,0.5341619045732021
192256,Safia Middleton-Patel,0.525680491652143
15577,Angharad James,0.5241722892417827
47022,Laura Freigang,0.5214497487158595
34875,Andreia Alexandra Norton,0.5192288040909442
87186,Synne Jensen,0.5180339423719345
10088,Katrine Veje,0.5172179367831686
26092,Amanda Ilestedt,0.5155966067407725
10263,Sara Däbritz,0.48548093886370425
45144,Joana Filipa Gaspar Silva Marchão,0.4819456956206364
401647,Marit Bratberg Lund,0.4809940021317557
32333,Lynn Wilms,0.47338654750783254
10145,Patricia Isabel Sousa Barros Morais,0.46873335306902375
45884,Giada Greggi,0.4662156801439195
32230,Karen Holmgaard,0.4431411204082163
402098,Veerle Buurman,0.4424509161338028
49972,Martina Lenzini,0.4369276798890842
444636,Nadia Krezyman,0.4314805174959743
19498,Jessica Park,0.43118235256522186
84765,Carrie Jones,0.4281448509435253
463543,Nea Lehtola,0.40965062032980226
402041,Katla Tryggvadóttir,0.408750611216224
159488,Thiniba Samoura,0.40639013542162233
229194,Olga Ahtinen,0.40188659045543557
225105,Hlín Eiríksdóttir,0.3993282694684102
