team_id,team_name,xT
863,Spain Women's,70.48838467494029
865,England Women's,57.89483197024546
858,Sweden Women's,35.608795864693846
857,Germany Women's,34.9288149520094
861,France Women's,33.92652253901131
855,Italy Women's,25.446259022485076
852,Norway Women's,24.33532970899087
860,Switzerland Women's,20.985551876005214
920,WNT Finland,18.37002939072374
851,Netherlands Women's,16.802152378757842
864,Portugal Women's,16.61959168670871
862,Iceland Women's,15.519071363791225
853,Denmark Women's,14.413546589487115
29167,Poland Women's,12.903796340355653
854,Belgium Women's,12.707611528695022
2456,Wales,10.498504617599233
