bin_pair,shot_prob,xg_given_shot,global_xg_fallback
0,0.0,0.13047950294256966,0.13047950294256966
1,0.0,0.13047950294256966,0.13047950294256966
2,0.0,0.13047950294256966,0.13047950294256966
3,0.0,0.13047950294256966,0.13047950294256966
8,0.0,0.13047950294256966,0.13047950294256966
9,0.0,0.13047950294256966,0.13047950294256966
10,0.0,0.13047950294256966,0.13047950294256966
13,0.0,0.13047950294256966,0.13047950294256966
16,0.0,0.13047950294256966,0.13047950294256966
17,0.0,0.13047950294256966,0.13047950294256966
19,0.0,0.13047950294256966,0.13047950294256966
24,0.0,0.13047950294256966,0.13047950294256966
25,0.0,0.13047950294256966,0.13047950294256966
26,0.0,0.13047950294256966,0.13047950294256966
32,0.0,0.13047950294256966,0.13047950294256966
33,0.0,0.13047950294256966,0.13047950294256966
35,0.0,0.13047950294256966,0.13047950294256966
40,0.0,0.13047950294256966,0.13047950294256966
41,0.0,0.13047950294256966,0.13047950294256966
49,0.0,0.13047950294256966,0.13047950294256966
96,0.0,0.13047950294256966,0.13047950294256966
97,0.0,0.13047950294256966,0.13047950294256966
98,0.0,0.13047950294256966,0.13047950294256966
99,0.0,0.13047950294256966,0.13047950294256966
100,0.0,0.13047950294256966,0.13047950294256966
104,0.0,0.13047950294256966,0.13047950294256966
105,0.0,0.13047950294256966,0.13047950294256966
112,0.0,0.13047950294256966,0.13047950294256966
113,0.0,0.13047950294256966,0.13047950294256966
115,0.0,0.13047950294256966,0.13047950294256966
120,0.0,0.13047950294256966,0.13047950294256966
121,0.0,0.13047950294256966,0.13047950294256966
128,0.0,0.13047950294256966,0.13047950294256966
130,0.0,0.13047950294256966,0.13047950294256966
132,0.0,0.13047950294256966,0.13047950294256966
136,0.0,0.13047950294256966,0.13047950294256966
138,0.0,0.13047950294256966,0.13047950294256966
152,0.0,0.13047950294256966,0.13047950294256966
153,0.0,0.13047950294256966,0.13047950294256966
192,0.0,0.13047950294256966,0.13047950294256966
193,0.0,0.13047950294256966,0.13047950294256966
194,0.0,0.13047950294256966,0.13047950294256966
195,0.0,0.13047950294256966,0.13047950294256966
196,0.0,0.13047950294256966,0.13047950294256966
200,0.0,0.13047950294256966,0.13047950294256966
201,0.0,0.13047950294256966,0.13047950294256966
202,0.0,0.13047950294256966,0.13047950294256966
203,0.0,0.13047950294256966,0.13047950294256966
204,0.0,0.13047950294256966,0.13047950294256966
205,0.0,0.13047950294256966,0.13047950294256966
206,0.0,0.13047950294256966,0.13047950294256966
208,0.0,0.13047950294256966,0.13047950294256966
209,0.0,0.13047950294256966,0.13047950294256966
210,0.0,0.13047950294256966,0.13047950294256966
